Player,Season,Competition_country,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,Type1,Type,Goal_assist
Cristiano Ronaldo,04-May,England,Premier League,Group Stage,01-02-2005,A,Manchester United,Arsenal FC,LOST,RW,58,1,Tap-in,Ryan Giggs
Cristiano Ronaldo,04-May,England,FA Cup,Group Stage,19-02-2005,A,Manchester United,Everton FC,LOST,,58,1,Tap-in,Paul Scholes
Cristiano Ronaldo,04-May,England,FA Cup,Group Stage,12-03-2005,A,Manchester United,Southampton FC,LOST,,46,1,Left-footed shot,Ruud van Nistelrooy
Cristiano Ronaldo,04-May,England,Premier League,Group Stage,19-03-2005,H,Manchester United,Fulham FC,WON,,21,1,Right-footed shot,Roy Keane
Cristiano Ronaldo,04-May,England,FA Cup,Semi-Finals,17-04-2005,A,Manchester United,Newcastle United,LOST,RW,76,1,Right-footed shot,Ruud van Nistelrooy
Lionel Messi,04-May,Spain,LaLiga,Group Stage,01-05-2005,H,FC Barcelona,Albacete Balompie,WON,CF,91,1,Left-footed shot,Ronaldinho Gaacho
Cristiano Ronaldo,05-Jun,Spain,UEFA Champions League Qualifying,Group Stage,09-08-2005,H,Manchester United,Debreceni VSC,WON,,63,1,Right-footed shot,Paul Scholes
Cristiano Ronaldo,05-Jun,England,Premier League,Group Stage,29-10-2005,A,Manchester United,Middlesbrough FC,WON,,90,1,Header,Paul Scholes
Lionel Messi,05-Jun,Spain,UEFA Champions League,Group Stage,02-11-2005,H,FC Barcelona,Panathinaikos Athens,WON,RW,34,1,Left-footed shot,
Lionel Messi,05-Jun,Spain,LaLiga,Group Stage,27-11-2005,H,FC Barcelona,Racing Santander,WON,RW,51,1,Left-footed shot,Samuel Etoo
Cristiano Ronaldo,05-Jun,England,EFL Cup,Group Stage,30-11-2005,H,Manchester United,West Bromwich Albion,WON,RW,12,1,Penalty,
Cristiano Ronaldo,05-Jun,England,Premier League,Group Stage,31-12-2005,H,Manchester United,Bolton Wanderers,WON,,68,1,Right-footed shot,Wayne Rooney
Cristiano Ronaldo,05-Jun,England,Premier League,Group Stage,31-12-2005,H,Manchester United,Bolton Wanderers,WON,,90,1,Left-footed shot,Ruud van Nistelrooy
Lionel Messi,05-Jun,Spain,LaLiga,Group Stage,15-01-2006,H,FC Barcelona,Athletic Bilbao,WON,RW,50,1,Left-footed shot,Mark van Bommel
Lionel Messi,05-Jun,Spain,LaLiga,Group Stage,22-01-2006,H,FC Barcelona,Deportivo Alaves,WON,CF,82,1,Left-footed shot,Ronaldinho Gaacho
Lionel Messi,05-Jun,Spain,LaLiga,Group Stage,29-01-2006,A,FC Barcelona,RCD Mallorca,LOST,CF,83,1,Left-footed shot,Ronaldinho Gaacho
Lionel Messi,05-Jun,Spain,LaLiga,Group Stage,29-01-2006,A,FC Barcelona,RCD Mallorca,LOST,CF,75,1,Right-footed shot,Sylvinho
Lionel Messi,05-Jun,Spain,Copa del Rey,Quarter-Finals,01-02-2006,H,FC Barcelona,Real Zaragoza,WON,CF,42,1,Header,Ludovic Giuly
Cristiano Ronaldo,05-Jun,England,Premier League,Group Stage,04-02-2006,H,Manchester United,Fulham FC,WON,,14,1,Direct free kick,
Cristiano Ronaldo,05-Jun,England,Premier League,Group Stage,04-02-2006,H,Manchester United,Fulham FC,WON,,87,1,Right-footed shot,
Cristiano Ronaldo,05-Jun,England,Premier League,Group Stage,11-02-2006,A,Manchester United,Portsmouth FC,LOST,RW,38,1,Left-footed shot,
Cristiano Ronaldo,05-Jun,England,Premier League,Group Stage,11-02-2006,A,Manchester United,Portsmouth FC,LOST,RW,45,1,Right-footed shot,Wayne Rooney
Lionel Messi,05-Jun,Spain,LaLiga,Group Stage,18-02-2006,H,FC Barcelona,Real Betis Balompie,WON,RW,84,1,Left-footed shot,
Cristiano Ronaldo,05-Jun,England,EFL Cup,Final,26-02-2006,H,Manchester United,Wigan Athletic,WON,RW,59,0,,Louis Saha
Cristiano Ronaldo,05-Jun,England,Premier League,Group Stage,06-03-2006,A,Manchester United,Wigan Athletic,LOST,,74,1,Right-footed shot,Ruud van Nistelrooy
Cristiano Ronaldo,05-Jun,England,Premier League,Group Stage,07-05-2006,H,Manchester United,Charlton Athletic,WON,RW,23,1,Left-footed shot,Ryan Giggs
Cristiano Ronaldo,06-Jul,England,Premier League,Group Stage,20-08-2006,H,Manchester United,Fulham FC,WON,,19,0,,Wayne Rooney
Lionel Messi,06-Jul,Spain,LaLiga,Group Stage,28-08-2006,A,FC Barcelona,Celta de Vigo,LOST,LW,59,1,Left-footed shot,Andres Iniesta
Lionel Messi,06-Jul,Spain,LaLiga,Group Stage,09-09-2006,H,FC Barcelona,CA Osasuna,WON,RW,36,1,Left-footed shot,Samuel Etoo
Cristiano Ronaldo,06-Jul,England,Premier League,Group Stage,23-09-2006,A,Manchester United,Reading FC,LOST,CF,73,0,,John OShea
Lionel Messi,06-Jul,Spain,UEFA Champions League,Group Stage,27-09-2006,A,FC Barcelona,SV Werder Bremen,LOST,RW,89,1,Left-footed shot,Deco
Lionel Messi,06-Jul,Spain,LaLiga,Group Stage,15-10-2006,H,FC Barcelona,Sevilla FC,WON,RW,80,1,Right-footed shot,Xavi
Cristiano Ronaldo,06-Jul,England,Premier League,Group Stage,28-10-2006,A,Manchester United,Bolton Wanderers,LOST,,82,0,,Louis Saha
Cristiano Ronaldo,06-Jul,England,Premier League,Group Stage,04-11-2006,H,Manchester United,Portsmouth FC,WON,RW,10,1,Direct free kick,
Cristiano Ronaldo,06-Jul,England,Premier League,Group Stage,29-11-2006,H,Manchester United,Everton FC,WON,,39,0,,
Cristiano Ronaldo,06-Jul,England,Premier League,Group Stage,09-12-2006,H,Manchester United,Manchester City,WON,,84,0,,
Cristiano Ronaldo,06-Jul,England,Premier League,Group Stage,23-12-2006,A,Manchester United,Aston Villa,LOST,,85,0,,Gary Neville
Cristiano Ronaldo,06-Jul,England,Premier League,Group Stage,23-12-2006,A,Manchester United,Aston Villa,LOST,,58,0,,
Cristiano Ronaldo,06-Jul,England,Premier League,Group Stage,26-12-2006,H,Manchester United,Wigan Athletic,WON,,50,1,Penalty rebound,Ji-sung Park
Cristiano Ronaldo,06-Jul,England,Premier League,Group Stage,26-12-2006,H,Manchester United,Wigan Athletic,WON,,47,0,,Paul Scholes
Cristiano Ronaldo,06-Jul,England,Premier League,Group Stage,30-12-2006,H,Manchester United,Reading FC,WON,RW,58,0,,Ole Gunnar Solskjaer
Cristiano Ronaldo,06-Jul,England,Premier League,Group Stage,30-12-2006,H,Manchester United,Reading FC,WON,RW,77,0,,Ryan Giggs
Cristiano Ronaldo,06-Jul,England,Premier League,Group Stage,13-01-2007,H,Manchester United,Aston Villa,WON,,34,1,Header,Michael Carrick
Cristiano Ronaldo,06-Jul,England,Premier League,Group Stage,31-01-2007,H,Manchester United,Watford FC,WON,RW,12,1,Penalty,
Cristiano Ronaldo,06-Jul,England,Premier League,Group Stage,03-02-2007,A,Manchester United,Tottenham Hotspur,LOST,RW,45,1,Penalty,
Cristiano Ronaldo,06-Jul,England,Premier League,Group Stage,24-02-2007,A,Manchester United,Fulham FC,LOST,,88,1,Solo run,
Cristiano Ronaldo,06-Jul,England,FA Cup,Group Stage,10-03-2007,A,Manchester United,Middlesbrough FC,LOST,RW,68,1,Penalty,
Lionel Messi,06-Jul,Spain,LaLiga,Group Stage,10-03-2007,H,FC Barcelona,Real Madrid,LOST,RW,28,1,Left-footed shot,
Lionel Messi,06-Jul,Spain,LaLiga,Group Stage,10-03-2007,H,FC Barcelona,Real Madrid,LOST,RW,91,1,Left-footed shot,Ronaldinho Gaacho
Lionel Messi,06-Jul,Spain,LaLiga,Group Stage,10-03-2007,H,FC Barcelona,Real Madrid,LOST,RW,11,1,Left-footed shot,Samuel Etoo
Lionel Messi,06-Jul,Spain,LaLiga,Group Stage,17-03-2007,A,FC Barcelona,Recreativo Huelva,LOST,RW,86,1,Left-footed shot,
Cristiano Ronaldo,06-Jul,England,FA Cup,Group Stage,19-03-2007,H,Manchester United,Middlesbrough FC,WON,,76,1,Penalty,
Lionel Messi,06-Jul,Spain,LaLiga,Group Stage,31-03-2007,H,FC Barcelona,Deportivo de La Coruaa,WON,RW,45,1,Left-footed shot,Ronaldinho Gaacho
Cristiano Ronaldo,06-Jul,Spain,UEFA Champions League,Quarter-Finals,10-04-2007,H,Manchester United,AS Roma,WON,RW,49,1,Right-footed shot,Ryan Giggs
Cristiano Ronaldo,06-Jul,Spain,UEFA Champions League,Quarter-Finals,10-04-2007,H,Manchester United,AS Roma,WON,RW,44,1,Right-footed shot,Ryan Giggs
Cristiano Ronaldo,06-Jul,England,FA Cup,Semi-Finals,14-04-2007,A,Manchester United,Watford FC,LOST,,28,1,Right-footed shot,Wayne Rooney
Lionel Messi,06-Jul,Spain,Copa del Rey,Semi-Finals,18-04-2007,H,FC Barcelona,Getafe CF,WON,RW,45,1,Left-footed shot,Deco
Lionel Messi,06-Jul,Spain,Copa del Rey,Semi-Finals,18-04-2007,H,FC Barcelona,Getafe CF,WON,RW,29,1,Solo run,Xavi
Cristiano Ronaldo,06-Jul,Spain,UEFA Champions League,Semi-Finals,24-04-2007,H,Manchester United,AC Milan,WON,RW,5,1,Header,Ryan Giggs
Cristiano Ronaldo,06-Jul,England,Premier League,Group Stage,05-05-2007,A,Manchester United,Manchester City,LOST,RW,34,1,Penalty,
Lionel Messi,06-Jul,Spain,LaLiga,Group Stage,20-05-2007,A,FC Barcelona,Atletico de Madrid,LOST,RW,39,1,Left-footed shot,Samuel Etoo
Lionel Messi,06-Jul,Spain,LaLiga,Group Stage,20-05-2007,A,FC Barcelona,Atletico de Madrid,LOST,RW,80,1,Left-footed shot,Giovanni van Bronckhorst
