Player,Season,Competition_country,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,Type1,Type,Goal_assist
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,05-05-2012,H,FC Barcelona,RCD Espanyol Barcelona,WON,CF,73,1,Left-footed shot,Adriano
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,05-05-2012,H,FC Barcelona,RCD Espanyol Barcelona,WON,CF,63,1,Penalty,
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,13-05-2012,H,Real Madrid,RCD Mallorca,WON,LW,18,1,Header,Marcelo
Lionel Messi,11-Dec,Spain,Copa del Rey,Final,25-05-2012,H,FC Barcelona,Athletic Bilbao,WON,CF,20,1,Right-footed shot,Andres Iniesta
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,19-08-2012,H,FC Barcelona,Real Sociedad,WON,CF,10,1,Left-footed shot,Pedro
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,19-08-2012,H,FC Barcelona,Real Sociedad,WON,CF,15,1,Left-footed shot,Cristian Tello
Lionel Messi,Dec-13,Spain,Supercopa,Final,23-08-2012,H,FC Barcelona,Real Madrid,WON,CF,60,1,Penalty,
Cristiano Ronaldo,Dec-13,Spain,Supercopa,Final,23-08-2012,A,Real Madrid,FC Barcelona,WON,LW,55,1,Header,Mesut Ozil
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,26-08-2012,A,FC Barcelona,CA Osasuna,LOST,CF,74,1,Left-footed shot,Alexis Sanchez
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,26-08-2012,A,FC Barcelona,CA Osasuna,LOST,CF,79,1,Left-footed shot,Jordi Alba
Cristiano Ronaldo,Dec-13,Spain,Supercopa,Final,29-08-2012,H,Real Madrid,FC Barcelona,WON,LW,19,1,Right-footed shot,Sami Khedira
Lionel Messi,Dec-13,Spain,Supercopa,Final,29-08-2012,A,FC Barcelona,Real Madrid,WON,CF,45,1,Direct free kick,
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,02-09-2012,H,Real Madrid,Granada CF,WON,LW,25,1,Right-footed shot,Jose CallejÃ³n
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,02-09-2012,H,Real Madrid,Granada CF,WON,LW,53,1,Left-footed shot,
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,15-09-2012,A,FC Barcelona,Getafe CF,LOST,CF,78,1,Left-footed shot,Pedro
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,15-09-2012,A,FC Barcelona,Getafe CF,LOST,CF,74,1,Penalty,
Cristiano Ronaldo,Dec-13,Spain,UEFA Champions League,Group Stage,18-09-2012,H,Real Madrid,Manchester City,WON,LW,90,1,Right-footed shot,Marcelo
Lionel Messi,Dec-13,Spain,UEFA Champions League,Group Stage,19-09-2012,H,FC Barcelona,Spartak Moscow,WON,CF,71,1,Left-footed shot,Cristian Tello
Lionel Messi,Dec-13,Spain,UEFA Champions League,Group Stage,19-09-2012,H,FC Barcelona,Spartak Moscow,WON,CF,80,1,Header,Alexis Sanchez
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,24-09-2012,A,Real Madrid,Rayo Vallecano,LOST,LW,69,1,Penalty,
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,30-09-2012,H,Real Madrid,Deportivo de La CoruÃ±a,WON,LW,23,1,Penalty,
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,30-09-2012,H,Real Madrid,Deportivo de La CoruÃ±a,WON,LW,84,1,Penalty,
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,30-09-2012,H,Real Madrid,Deportivo de La CoruÃ±a,WON,LW,44,1,Header,Sergio Ramos
Cristiano Ronaldo,Dec-13,Spain,UEFA Champions League,Group Stage,03-10-2012,A,Real Madrid,Ajax Amsterdam,LOST,LW,42,1,Right-footed shot,Karim Benzema
Cristiano Ronaldo,Dec-13,Spain,UEFA Champions League,Group Stage,03-10-2012,A,Real Madrid,Ajax Amsterdam,LOST,LW,79,1,Right-footed shot,Karim Benzema
Cristiano Ronaldo,Dec-13,Spain,UEFA Champions League,Group Stage,03-10-2012,A,Real Madrid,Ajax Amsterdam,LOST,LW,81,1,Left-footed shot,Sami Khedira
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,07-10-2012,H,FC Barcelona,Real Madrid,LOST,CF,31,1,Left-footed shot,
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,07-10-2012,A,Real Madrid,FC Barcelona,LOST,LW,22,1,Left-footed shot,Karim Benzema
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,07-10-2012,H,FC Barcelona,Real Madrid,LOST,CF,60,1,Direct free kick,
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,07-10-2012,A,Real Madrid,FC Barcelona,LOST,LW,66,1,Right-footed shot,Mesut Ozil
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,20-10-2012,A,FC Barcelona,Deportivo de La Coruaa,LOST,CF,17,1,Left-footed shot,Cesc Fabregas
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,20-10-2012,A,FC Barcelona,Deportivo de La Coruaa,LOST,CF,43,1,Left-footed shot,Cesc Fabregas
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,20-10-2012,A,FC Barcelona,Deportivo de La Coruaa,LOST,CF,76,1,Left-footed shot,Xavi
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,20-10-2012,H,Real Madrid,Celta de Vigo,WON,LW,67,1,Penalty,
Cristiano Ronaldo,Dec-13,Spain,UEFA Champions League,Group Stage,24-10-2012,A,Real Madrid,Borussia Dortmund,WON,LW,38,1,Right-footed shot,Mesut Ozil
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,27-10-2012,A,FC Barcelona,Rayo Vallecano,LOST,CF,89,1,Right-footed shot,Cesc Fabregas
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,27-10-2012,A,FC Barcelona,Rayo Vallecano,LOST,CF,48,1,Left-footed shot,Marta Montoya
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,28-10-2012,A,Real Madrid,RCD Mallorca,LOST,LW,22,1,Right-footed shot,Gonzalo Higuain
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,28-10-2012,A,Real Madrid,RCD Mallorca,LOST,LW,73,1,Right-footed shot,Gonzalo Higuain
Lionel Messi,Dec-13,Spain,UEFA Champions League,Group Stage,07-11-2012,A,FC Barcelona,Celtic FC,WON,CF,91,1,Tap-in,
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,11-11-2012,A,FC Barcelona,RCD Mallorca,LOST,CF,70,1,Left-footed shot,Alexis Sanchez
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,11-11-2012,A,Real Madrid,Levante UD,LOST,CF,20,1,Right-footed shot,
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,11-11-2012,A,FC Barcelona,RCD Mallorca,LOST,CF,43,1,Left-footed shot,Sergio Busquets
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,17-11-2012,H,FC Barcelona,Real Zaragoza,WON,CF,15,1,Left-footed shot,Jordi Alba
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,17-11-2012,H,FC Barcelona,Real Zaragoza,WON,CF,60,1,Left-footed shot,Marta Montoya
Lionel Messi,Dec-13,Spain,UEFA Champions League,Group Stage,20-11-2012,A,FC Barcelona,Spartak Moscow,LOST,CF,39,1,Left-footed shot,Pedro
Lionel Messi,Dec-13,Spain,UEFA Champions League,Group Stage,20-11-2012,A,FC Barcelona,Spartak Moscow,LOST,CF,27,1,Right-footed shot,
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,25-11-2012,A,FC Barcelona,Levante UD,LOST,CF,46,1,Left-footed shot,Andres Iniesta
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,25-11-2012,A,FC Barcelona,Levante UD,LOST,CF,51,1,Left-footed shot,Andres Iniesta
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,01-12-2012,H,FC Barcelona,Athletic Bilbao,WON,CF,24,1,Left-footed shot,Xavi
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,01-12-2012,H,FC Barcelona,Athletic Bilbao,WON,CF,69,1,Right-footed shot,Pedro
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,01-12-2012,H,Real Madrid,Atletico de Madrid,WON,LW,16,1,Direct free kick,
Cristiano Ronaldo,Dec-13,Spain,UEFA Champions League,Group Stage,04-12-2012,H,Real Madrid,Ajax Amsterdam,WON,LW,13,1,Right-footed shot,Karim Benzema
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,09-12-2012,A,FC Barcelona,Real Betis Balompie,LOST,CF,16,1,Left-footed shot,Andres Iniesta
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,09-12-2012,A,FC Barcelona,Real Betis Balompie,LOST,CF,25,1,Left-footed shot,Andres Iniesta
Lionel Messi,Dec-13,Spain,Copa del Rey,Group Stage,12-12-2012,A,FC Barcelona,CÃ³rdoba CF,LOST,CF,10,1,Left-footed shot,David Villa
Lionel Messi,Dec-13,Spain,Copa del Rey,Group Stage,12-12-2012,A,FC Barcelona,CÃ³rdoba CF,LOST,CF,73,1,Left-footed shot,Alexis Sanchez
Cristiano Ronaldo,Dec-13,Spain,Copa del Rey,Group Stage,12-12-2012,A,Real Madrid,Celta de Vigo,WON,LW,87,1,Left-footed shot,Xabi Alonso
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,16-12-2012,H,FC Barcelona,Atletico de Madrid,WON,CF,88,1,Left-footed shot,
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,16-12-2012,H,FC Barcelona,Atletico de Madrid,WON,CF,58,1,Left-footed shot,Alexis Sanchez
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,16-12-2012,H,Real Madrid,RCD Espanyol Barcelona,LOST,CF,45,1,Right-footed shot,Sami Khedira
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,22-12-2012,A,FC Barcelona,Real Valladolid CF,LOST,CF,59,1,Left-footed shot,Xavi
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,06-01-2013,H,FC Barcelona,RCD Espanyol Barcelona,WON,CF,28,1,Penalty,
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,06-01-2013,H,Real Madrid,Real Sociedad,WON,LW ,67,1,Left-footed shot,Karim Benzema
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,06-01-2013,H,Real Madrid,Real Sociedad,WON,LW ,70,1,Direct free kick,
Cristiano Ronaldo,Dec-13,Spain,Copa del Rey,Group Stage,09-01-2013,H,Real Madrid,Celta de Vigo,WON,LW,24,1,Left-footed shot,Luka Modric
Cristiano Ronaldo,Dec-13,Spain,Copa del Rey,Group Stage,09-01-2013,H,Real Madrid,Celta de Vigo,WON,LW,87,1,Left-footed shot,Gonzalo Higuain
Cristiano Ronaldo,Dec-13,Spain,Copa del Rey,Group Stage,09-01-2013,H,Real Madrid,Celta de Vigo,WON,LW,2,1,Right-footed shot,alvaro Arbeloa
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,13-01-2013,A,FC Barcelona,Malaga CF,LOST,CF,26,1,Right-footed shot,
Lionel Messi,Dec-13,Spain,Copa del Rey,Quarter-Finals,16-01-2013,H,FC Barcelona,Malaga CF,LOST,CF,29,1,Left-footed shot,
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,19-01-2013,A,FC Barcelona,Real Sociedad,WON,CF,6,1,Left-footed shot,Andres Iniesta
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,20-01-2013,A,Real Madrid,Valencia CF,LOST,LW,41,1,Right-footed shot,Mesut Ozil
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,20-01-2013,A,Real Madrid,Valencia CF,LOST,LW,35,1,Left-footed shot,Fabio CoentrÃ£o
Lionel Messi,Dec-13,Spain,Copa del Rey,Quarter-Finals,24-01-2013,A,FC Barcelona,Malaga CF,LOST,CF,79,1,Header,Dani Alves
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,27-01-2013,H,FC Barcelona,CA Osasuna,WON,CF,58,1,Left-footed shot,Adriano
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,27-01-2013,H,FC Barcelona,CA Osasuna,WON,CF,28,1,Penalty,
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,27-01-2013,H,Real Madrid,Getafe CF,WON,LW,72,1,Penalty,
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,27-01-2013,H,Real Madrid,Getafe CF,WON,LW,65,1,Header,Angel Di Maria
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,27-01-2013,H,Real Madrid,Getafe CF,WON,LW,62,1,Left-footed shot,Mesut Ozil
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,27-01-2013,H,FC Barcelona,CA Osasuna,WON,CF,11,1,Right-footed shot,Xavi
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,27-01-2013,H,FC Barcelona,CA Osasuna,WON,CF,56,1,Left-footed shot,David Villa
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,03-02-2013,A,FC Barcelona,Valencia CF,LOST,CF,39,1,Penalty,
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,09-02-2013,H,Real Madrid,Sevilla FC,WON,LW,26,1,Left-footed shot,Kaka
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,09-02-2013,H,Real Madrid,Sevilla FC,WON,LW,59,1,Right-footed shot,Gonzalo Higuain
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,09-02-2013,H,Real Madrid,Sevilla FC,WON,LW,46,1,Left-footed shot,alvaro Arbeloa
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,10-02-2013,H,FC Barcelona,Getafe CF,WON,CF,13,1,Left-footed shot,Thiago
Cristiano Ronaldo,Dec-13,Spain,UEFA Champions League,Group Stage,13-02-2013,H,Real Madrid,Manchester United,LOST,LW,30,1,Header,Angel Di Maria
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,16-02-2013,A,FC Barcelona,Granada CF,LOST,CF,49,1,Left-footed shot,
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,16-02-2013,A,FC Barcelona,Granada CF,LOST,CF,72,1,Direct free kick,
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,23-02-2013,H,FC Barcelona,Sevilla FC,WON,CF,60,1,Left-footed shot,Cristian Tello
Cristiano Ronaldo,Dec-13,Spain,Copa del Rey,Semi-Finals,26-02-2013,A,Real Madrid,FC Barcelona,LOST,LW,12,1,Penalty,
Cristiano Ronaldo,Dec-13,Spain,Copa del Rey,Semi-Finals,26-02-2013,A,Real Madrid,FC Barcelona,LOST,LW,57,1,Left-footed shot,
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,02-03-2013,A,FC Barcelona,Real Madrid,WON,CF,18,1,Left-footed shot,Dani Alves
Cristiano Ronaldo,Dec-13,Spain,UEFA Champions League,Group Stage,05-03-2013,A,Real Madrid,Manchester United,LOST,LW,69,1,Right-footed shot,Gonzalo Higuain
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,09-03-2013,H,FC Barcelona,Deportivo de La Coruaa,WON,CF,88,1,Left-footed shot,Alexis Sanchez
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,10-03-2013,A,Real Madrid,Celta de Vigo,LOST,LW,71,1,Penalty,
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,10-03-2013,A,Real Madrid,Celta de Vigo,LOST,LW,61,1,Left-footed shot,Jose CallejÃ³n
Lionel Messi,Dec-13,Spain,UEFA Champions League,Group Stage,12-03-2013,H,FC Barcelona,AC Milan,WON,CF,5,1,Left-footed shot,Xavi
Lionel Messi,Dec-13,Spain,UEFA Champions League,Group Stage,12-03-2013,H,FC Barcelona,AC Milan,WON,CF,40,1,Left-footed shot,Andres Iniesta
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,16-03-2013,H,Real Madrid,RCD Mallorca,WON,LW,52,1,Header,Mesut Ozil
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,17-03-2013,H,FC Barcelona,Rayo Vallecano,WON,CF,40,1,Left-footed shot,David Villa
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,17-03-2013,H,FC Barcelona,Rayo Vallecano,WON,CF,57,1,Left-footed shot,David Villa
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,30-03-2013,A,FC Barcelona,Celta de Vigo,LOST,CF ,73,1,Left-footed shot,Cristian Tello
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,30-03-2013,A,Real Madrid,Real Zaragoza,LOST,LW,38,1,Long distance kick,
Lionel Messi,Dec-13,Spain,UEFA Champions League,Quarter-Finals,02-04-2013,A,FC Barcelona,Paris Saint-Germain,LOST,CF,38,1,Left-footed shot,Dani Alves
Cristiano Ronaldo,Dec-13,Spain,UEFA Champions League,Quarter-Finals,03-04-2013,H,Real Madrid,Galatasaray,WON,LW,9,1,Left-footed shot,Mesut Ozil
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,06-04-2013,H,Real Madrid,Levante UD,WON,CF,84,1,Right-footed shot,Gonzalo Higuain
Cristiano Ronaldo,Dec-13,Spain,UEFA Champions League,Quarter-Finals,09-04-2013,A,Real Madrid,Galatasaray,WON,LW,92,1,Right-footed shot,Karim Benzema
Cristiano Ronaldo,Dec-13,Spain,UEFA Champions League,Quarter-Finals,09-04-2013,A,Real Madrid,Galatasaray,WON,LW,8,1,Right-footed shot,Sami Khedira
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,14-04-2013,A,Real Madrid,Athletic Bilbao,LOST,LW,2,1,Direct free kick,
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,14-04-2013,A,Real Madrid,Athletic Bilbao,LOST,LW,68,1,Header,Xabi Alonso
Cristiano Ronaldo,Dec-13,Spain,UEFA Champions League,Semi-Finals,24-04-2013,A,Real Madrid,Borussia Dortmund,WON,LW,43,1,Right-footed shot,Gonzalo Higuain
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,27-04-2013,A,FC Barcelona,Athletic Bilbao,LOST,CF,67,1,Left-footed shot,Thiago
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,04-05-2013,H,Real Madrid,Real Valladolid CF,WON,LW,32,1,Header,Angel Di Maria
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,04-05-2013,H,Real Madrid,Real Valladolid CF,WON,LW,70,1,Header,Mesut Ozil
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,05-05-2013,H,FC Barcelona,Real Betis Balompie,WON,CF,60,1,Direct free kick,
Lionel Messi,Dec-13,Spain,LaLiga,Group Stage,05-05-2013,H,FC Barcelona,Real Betis Balompie,WON,CF,71,1,Left-footed shot,Alexis Sanchez
Cristiano Ronaldo,Dec-13,Spain,LaLiga,Group Stage,08-05-2013,H,Real Madrid,Malaga CF,WON,LW ,26,1,Right-footed shot,Xabi Alonso
Cristiano Ronaldo,Dec-13,Spain,Copa del Rey,Final,17-05-2013,A,Real Madrid,Atletico de Madrid,LOST,LW,14,1,Header,Luka Modric
Lionel Messi,13/14,Spain,LaLiga,Group Stage,18-08-2013,H,FC Barcelona,Levante UD,WON,CF,42,1,Penalty,
Lionel Messi,13/14,Spain,LaLiga,Group Stage,18-08-2013,H,FC Barcelona,Levante UD,WON,CF,13,1,Left-footed shot,Pedro
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,01-09-2013,H,Real Madrid,Athletic Bilbao,WON,LW,45,1,Header,Angel Di Maria
Lionel Messi,13/14,Spain,LaLiga,Group Stage,01-09-2013,A,FC Barcelona,Valencia CF,LOST,CF,41,1,Left-footed shot,Neymar
Lionel Messi,13/14,Spain,LaLiga,Group Stage,01-09-2013,A,FC Barcelona,Valencia CF,LOST,CF,39,1,Right-footed shot,Cesc Fabregas
Lionel Messi,13/14,Spain,LaLiga,Group Stage,01-09-2013,A,FC Barcelona,Valencia CF,LOST,CF,11,1,Left-footed shot,Cesc Fabregas
Lionel Messi,13/14,Spain,LaLiga,Group Stage,14-09-2013,H,FC Barcelona,Sevilla FC,WON,CF,75,1,Left-footed shot,Neymar
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,14-09-2013,A,Real Madrid,Villarreal CF,LOST,LW,64,1,Right-footed shot,
Cristiano Ronaldo,13/14,Spain,UEFA Champions League,Group Stage,17-09-2013,A,Real Madrid,Galatasaray,LOST,LW,90,1,Left-footed shot,Karim Benzema
Cristiano Ronaldo,13/14,Spain,UEFA Champions League,Group Stage,17-09-2013,A,Real Madrid,Galatasaray,LOST,LW,66,1,Tap-in,Sergio Ramos
Cristiano Ronaldo,13/14,Spain,UEFA Champions League,Group Stage,17-09-2013,A,Real Madrid,Galatasaray,LOST,LW,63,1,Left-footed shot,Isco
Lionel Messi,13/14,Spain,UEFA Champions League,Group Stage,18-09-2013,H,FC Barcelona,Ajax Amsterdam,WON,CF,75,1,Left-footed shot,Xavi
Lionel Messi,13/14,Spain,UEFA Champions League,Group Stage,18-09-2013,H,FC Barcelona,Ajax Amsterdam,WON,CF,55,1,Left-footed shot,Sergio Busquets
Lionel Messi,13/14,Spain,UEFA Champions League,Group Stage,18-09-2013,H,FC Barcelona,Ajax Amsterdam,WON,CF,22,1,Direct free kick,
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,22-09-2013,H,Real Madrid,Getafe CF,WON,LW,90,1,Right-footed shot,Sami Khedira
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,22-09-2013,H,Real Madrid,Getafe CF,WON,LW,34,1,Penalty,
Lionel Messi,13/14,Spain,LaLiga,Group Stage,24-09-2013,H,FC Barcelona,Real Sociedad,WON,CF,8,1,Header,Neymar
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,25-09-2013,A,Real Madrid,Elche CF,LOST,LW,51,1,Direct free kick,
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,25-09-2013,A,Real Madrid,Elche CF,LOST,LW,96,1,Penalty,
Lionel Messi,13/14,Spain,LaLiga,Group Stage,28-09-2013,A,FC Barcelona,UD Almera,LOST,CF,21,1,Left-footed shot,Pedro
Cristiano Ronaldo,13/14,Spain,UEFA Champions League,Group Stage,02-10-2013,H,Real Madrid,FC Copenhagen,WON,LW,21,1,Header,Marcelo
Cristiano Ronaldo,13/14,Spain,UEFA Champions League,Group Stage,02-10-2013,H,Real Madrid,FC Copenhagen,WON,LW,65,1,Header,Angel Di Maria
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,05-10-2013,A,Real Madrid,Levante UD,LOST,LW,94,1,Right-footed shot,Luka Modric
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,19-10-2013,H,Real Madrid,Malaga CF,WON,LW,91,1,Penalty,
Lionel Messi,13/14,Spain,UEFA Champions League,Group Stage,22-10-2013,A,FC Barcelona,AC Milan,LOST,CF,23,1,Left-footed shot,Andres Iniesta
Cristiano Ronaldo,13/14,Spain,UEFA Champions League,Group Stage,23-10-2013,H,Real Madrid,Juventus FC,WON,LW,29,1,Penalty,
Cristiano Ronaldo,13/14,Spain,UEFA Champions League,Group Stage,23-10-2013,H,Real Madrid,Juventus FC,WON,LW,4,1,Right-footed shot,Angel Di Maria
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,30-10-2013,H,Real Madrid,Sevilla FC,WON,LW,71,1,Right-footed shot,Karim Benzema
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,30-10-2013,H,Real Madrid,Sevilla FC,WON,LW,31,1,Penalty,
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,30-10-2013,H,Real Madrid,Sevilla FC,WON,LW,60,1,Right-footed shot,Gareth Bale
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,02-11-2013,A,Real Madrid,Rayo Vallecano,LOST,LW,48,1,Right-footed shot,Gareth Bale
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,02-11-2013,A,Real Madrid,Rayo Vallecano,LOST,LW,3,1,Right-footed shot,Luka Modric
Cristiano Ronaldo,13/14,Spain,UEFA Champions League,Group Stage,05-11-2013,A,Real Madrid,Juventus FC,LOST,LW,52,1,Right-footed shot,Karim Benzema
Lionel Messi,13/14,Spain,UEFA Champions League,Group Stage,06-11-2013,H,FC Barcelona,AC Milan,WON,CF,83,1,Left-footed shot,Cesc Fabregas
Lionel Messi,13/14,Spain,UEFA Champions League,Group Stage,06-11-2013,H,FC Barcelona,AC Milan,WON,CF,30,1,Penalty,
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,09-11-2013,H,Real Madrid,Real Sociedad,WON,LW,76,1,Direct free kick,
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,09-11-2013,H,Real Madrid,Real Sociedad,WON,LW,27,1,Penalty,
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,09-11-2013,H,Real Madrid,Real Sociedad,WON,LW,12,1,Right-footed shot,Karim Benzema
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,23-11-2013,A,Real Madrid,UD Almeria,LOST,LW,3,1,Left-footed shot,Isco
Cristiano Ronaldo,13/14,Spain,UEFA Champions League,Group Stage,10-12-2013,A,Real Madrid,FC Copenhagen,LOST,LW,48,1,Right-footed shot,Pepe
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,22-12-2013,A,Real Madrid,Valencia CF,LOST,LW,40,1,Header,Angel Di Maria
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,06-01-2014,H,Real Madrid,Celta de Vigo,WON,LW,82,1,Right-footed shot,Daniel Carvajal
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,06-01-2014,H,Real Madrid,Celta de Vigo,WON,LW,90,1,Right-footed shot,Gareth Bale
Lionel Messi,13/14,Spain,Copa del Rey,Group Stage,08-01-2014,H,FC Barcelona,Getafe CF,WON,CF,90,1,Left-footed shot,Marta Montoya
Lionel Messi,13/14,Spain,Copa del Rey,Group Stage,08-01-2014,H,FC Barcelona,Getafe CF,WON,CF,92,1,Left-footed shot,Alex Song
Cristiano Ronaldo,13/14,Spain,Copa del Rey,Group Stage,15-01-2014,A,Real Madrid,CA Osasuna,LOST,LW,22,1,Direct free kick,
Lionel Messi,13/14,Spain,Copa del Rey,Group Stage,16-01-2014,A,FC Barcelona,Getafe CF,LOST,CF,43,1,Right-footed shot,Cristian Tello
Lionel Messi,13/14,Spain,Copa del Rey,Group Stage,16-01-2014,A,FC Barcelona,Getafe CF,LOST,CF,63,1,Left-footed shot,
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,18-01-2014,A,Real Madrid,Real Betis Balompie,LOST,LW,10,1,Right-footed shot,Angel Di Maria
Cristiano Ronaldo,13/14,Spain,LaLiga,Group Stage,25-01-2014,H,Real Madrid,Granada CF,WON,LW,57,1,Right-footed shot,Luka Modric
Lionel Messi,13/14,Spain,LaLiga,Group Stage,01-02-2014,H,FC Barcelona,Valencia CF,LOST,CF,54,1,Penalty,
Lionel Messi,13/14,Spain,LaLiga,Group Stage,09-02-2014,A,FC Barcelona,Sevilla FC,LOST,CF,44,1,Left-footed shot,Pedro
Lionel Messi,13/14,Spain,LaLiga,Group Stage,09-02-2014,A,FC Barcelona,Sevilla FC,LOST,CF,56,1,Left-footed shot,Andres Iniesta
